Index,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,MinPriceUSD,MaxPriceUSD,Country,AveragePrice
2055,Impronte,"via Cristoforo Baioni 38, Bergamo, 24123, Italy",Bergamo,95,130,EUR,"Modern Cuisine, Mediterranean Cuisine",9.6736129,45.7088279,3.9E+11,https://guide.michelin.com/en/lombardia/bergamo/restaurant/impronte,https://impronteristorante.com/coming-soon/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Visa credit card,Wheelchair access",95.07,130.09,Italy,112.58
1419,noVa,"Rigipsstraße 1, Herrenberg, 71083, Germany",Herrenberg,95,132,EUR,"Creative, Modern Cuisine",8.8868981,48.5757434,49703277344,https://guide.michelin.com/en/baden-wurttemberg/herrenberg/restaurant/nova1185644,https://www.nova-gourmet.de/,1 Star,"American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Visa credit card",95.07,132.09,Germany,113.58
1221,Gourmetrestaurant Dirk Maus,"Sandhof 7, Heidesheim am Rhein, 55262, Germany",Heidesheim am Rhein,95,140,EUR,"Classic French, Market Cuisine",8.1254645,49.9998906,4.96E+12,https://guide.michelin.com/en/rheinland-pfalz/heidesheim-am-rhein/restaurant/gourmetrestaurant-dirk-maus,https://www.dirk-maus.de/,1 Star,"American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Visa credit card",95.07,140.1,Germany,117.585
1647,Feitoria,"Doca do Bom Sucesso, Lisbon, 1400-038, Portugal",Lisbon,95,140,EUR,Modern Cuisine,-9.2129467,38.6936647,3.51E+11,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/feitoria,https://www.restaurantefeitoria.com/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access",95.07,140.1,Portugal,117.585
1775,DINS Santi Taura,"Plaza de Llorenç Villalonga 4, Palma, 07001, Spain",Palma,95,140,EUR,Modern Cuisine,2.6529955,39.565643,34656738214,https://guide.michelin.com/en/islas-baleares/palma/restaurant/dins-santi-taura,https://www.dinssantitaura.com/,1 Star,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card,Wheelchair access",95.07,140.1,Spain,117.585
2020,Amistà,"via Cedrare 78, San Pietro in Cariano, 37029, Italy",San Pietro in Cariano,95,140,EUR,"Modern Cuisine, Italian Contemporary",10.899484,45.48968,3.9E+11,https://guide.michelin.com/en/veneto/san-pietro-in-cariano/restaurant/amista-33,https://www.ristoranteamista.it/,1 Star,"Air conditioning,American Express credit card,Booking essential,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",95.07,140.1,Italy,117.585
2063,San Giorgio,"viale Brigate Bisagno 69r, Genoa, 16121, Italy",Genoa,95,140,EUR,"Ligurian, Modern Cuisine",8.945731,44.4016634,3.9E+11,https://guide.michelin.com/en/liguria/genova/restaurant/san-giorgio562345,https://www.ristorantesangiorgiogenova.it/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",95.07,140.1,Italy,117.585
1319,Pottkind,"Darmstädter Straße 9, Cologne, 50678, Germany",Cologne,95,145,EUR,"Creative, Modern Cuisine",6.9610124,50.9194296,4.92E+12,https://guide.michelin.com/en/nordrhein-westfalen/koln/restaurant/pottkind,https://www.restaurant-pottkind.de/,1 Star,"American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Visa credit card",95.07,145.1,Germany,120.085
1325,Restaurant Villa Merton,"Am Leonhardsbrunn 12, Frankfurt on the Main, 60487, Germany",Frankfurt on the Main,95,145,EUR,"Classic Cuisine, Modern Cuisine",8.6534663,50.1271819,4969703033,https://guide.michelin.com/en/hessen/frankfurt-am-main/restaurant/restaurant-villa-merton,https://restaurant-villa-merton.de/,1 Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",95.07,145.1,Germany,120.085
618,Carcasse,"Henri Christiaenlaan 5, Sint-Idesbald, 8670, Belgium",Sint-Idesbald,95,150,EUR,Meats and Grills,2.6110544,51.1098794,3258517249,https://guide.michelin.com/en/west-vlaanderen/sint-idesbald/restaurant/carcasse,https://www.carcasse.be/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access",95.07,150.1,Belgium,122.585
1242,Wielandshöhe,"Alte Weinsteige 71, Stuttgart, 70597, Germany",Stuttgart,95,150,EUR,"Classic French, Regional Cuisine",9.1709218,48.7570062,4.97E+11,https://guide.michelin.com/en/baden-wurttemberg/stuttgart/restaurant/wielandshohe,https://www.wielandshoehe.de/,1 Star,"Credit card / Debit card accepted,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",95.07,150.1,Germany,122.585
1781,El Invernadero,"Ponzano 85, Madrid, 28003, Spain",Madrid,95,150,EUR,Modern Cuisine,-3.6989277,40.4446541,34628939367,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/el-invernadero,https://elinvernaderorestaurante.com/,1 Star,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access",95.07,150.1,Spain,122.585
302,Culler de Pau,"Reboredo 73, O Grove, 36980, Spain",O Grove,95,150,EUR,Creative,-8.8957637,42.4752854,34986732275,https://guide.michelin.com/en/galicia/o-grove/restaurant/culler-de-pau,https://www.cullerdepau.com/es/,2 Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Visa credit card,Wheelchair access",95.07,150.1,Spain,122.585
806,La Bonne Étape,"Chemin du Lac, Château-Arnoux, 04160, France",Château-Arnoux,95,155,EUR,Provençal,6.010534,44.0935978,33492640009,https://guide.michelin.com/en/provence-alpes-cote-dazur/chteau-arnoux/restaurant/la-bonne-etape,https://www.bonneetape.com/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card",95.07,155.11,France,125.09
2104,Borgo San Jacopo,"borgo San Jacopo 62 r, Florence, 50125, Italy",Florence,95,155,EUR,Contemporary,11.251472,43.7680838,39055281661,https://guide.michelin.com/en/toscana/firenze/restaurant/borgo-san-jacopo,https://www.lungarnocollection.com/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card",95.07,155.11,Italy,125.09
2147,Il Desco,"via Dietro San Sebastiano 7, Verona, 37121, Italy",Verona,95,155,EUR,Italian Contemporary,10.9999722,45.4416145,39045595358,https://guide.michelin.com/en/veneto/verona/restaurant/il-desco,https://ristoranteildesco.it/,1 Star,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",95.07,155.11,Italy,125.09
1920,Il Pievano,"località Spaltenna 13, Gaiole in Chianti, 53013, Italy",Gaiole in Chianti,95,160,EUR,Modern Cuisine,11.4293865,43.4654463,3.91E+11,https://guide.michelin.com/en/toscana/gaiole-in-chianti/restaurant/il-pievano,https://www.spaltenna.it/it/home,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",95.07,160.11,Italy,127.59
666,La Table de l'Ours,"Les Barmes de l'Ours, 100 montée de Bellevarde, Val-d'Isère, 73150, France",Val-d'Isère,95,165,EUR,Modern Cuisine,6.97513,45.447717,33479413700,https://guide.michelin.com/en/auvergne-rhone-alpes/val-d-isre/restaurant/la-table-de-l-ours,https://www.hotellesbarmes.com/,1 Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access",95.07,165.12,France,130.095
988,Le Corot,"55 rue de Versailles, Ville-d'Avray, 92410, France",Ville-d'Avray,95,165,EUR,Creative,2.1830307,48.8220549,33141153700,https://guide.michelin.com/en/ile-de-france/ville-d-avray/restaurant/le-corot,https://www.etangs-corot.com/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access",95.07,165.12,France,130.095
200,Lalique,"Lieu-dit Peyraguey, Bommes, 33210, France",Bommes,95,165,EUR,Modern Cuisine,-0.3374123,44.5493811,33524228011,https://guide.michelin.com/en/nouvelle-aquitaine/bommes/restaurant/lalique,https://www.lafauriepeyragueylalique.com/,2 Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Great view,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access",95.07,165.12,France,130.095
1929,La Credenza,"via Cavour 22, San Maurizio Canavese, 10077, Italy",San Maurizio Canavese,95,170,EUR,Creative,7.6319706,45.217537,3.9E+11,https://guide.michelin.com/en/piemonte/san-maurizio-canavese/restaurant/la-credenza,https://credenzagroup.it/locali/ristorante-la-credenza/,1 Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card",95.07,170.12,Italy,132.595
115,De Treeswijkhoeve,"Valkenswaardseweg 14, Waalre, 5582 VB, Netherlands",Waalre,95,170,EUR,Creative,5.4693081,51.3780193,31402215593,https://guide.michelin.com/en/noord-brabant/waalre/restaurant/de-treeswijkhoeve,https://www.treeswijkhoeve.nl/nl,2 Stars,"American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Visa credit card",95.07,170.12,Netherlands,132.595
1218,5,"Bolzstraße 8, Stuttgart, 70173, Germany",Stuttgart,95,179,EUR,Modern Cuisine,9.1780757,48.7800231,4.97E+12,https://guide.michelin.com/en/baden-wurttemberg/stuttgart/restaurant/5,https://www.5.fo/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card",95.07,179.13,Germany,137.1
